trip_id,driver_id,rider_id,city_id,payment_method_id,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,pickup_date,pickup_time,drop_date,drop_time
1,8270,10683,7,1,29.711098024222913,-98.53126307279932,29.576333424407593,-98.6624154319717,2.97,10.71,Completed,2023-01-01,00:00:00,2023-01-01,00:08:54
2,1860,44743,3,2,41.8402674631199,-87.76192955191617,41.82382483726742,-87.86260488010207,8.43,22.41,Completed,2023-01-01,00:01:00,2023-01-01,00:26:17
3,6390,75839,8,3,32.91113742721908,-117.2504109123344,32.87372827003932,-116.93067420703177,5.46,12.91,Completed,2023-01-01,00:02:00,2023-01-01,00:18:22
4,6191,22189,6,1,39.898710955746644,-75.14122093376164,40.027936505820925,-74.96277290036926,6.61,15.7,Completed,2023-01-01,00:03:00,2023-01-01,00:22:49
5,6734,61104,1,1,40.86211467245661,-74.02803182183337,40.90620434163206,-74.07449116682615,10.5,19.15,Completed,2023-01-01,00:04:00,2023-01-01,00:35:30
6,7265,84988,10,4,37.73199734953821,-122.42381085090015,37.86387271725107,-122.48348806027066,9.94,19.95,Completed,2023-01-01,00:05:00,2023-01-01,00:34:49
7,1466,82933,7,2,29.64123328525337,-98.72870393170173,29.401239866766534,-98.26225501392999,12.22,25.89,Completed,2023-01-01,00:06:00,2023-01-01,00:42:39
8,5426,60182,7,3,29.59823310095349,-98.50797093211364,29.63588149866343,-98.5210769889398,10.14,25.55,Completed,2023-01-01,00:07:00,2023-01-01,00:37:25
9,6578,15826,1,3,40.535876064249145,-73.98136113078257,40.90082283302247,-74.1073429971451,1.88,7.97,Completed,2023-01-01,00:08:00,2023-01-01,00:13:38
10,9322,63503,3,2,41.66009246056756,-87.62863450132254,41.81267382286066,-87.79942394607285,3.7,12.21,No-Show,2023-01-01,00:09:00,2023-01-01,00:20:06
11,2685,19386,2,3,34.01202501630891,-118.18640024679011,33.860159528149616,-118.56572959779525,7.5,13.99,Completed,2023-01-01,00:10:00,2023-01-01,00:32:30
12,1769,54319,9,4,32.83356459516738,-96.79151124834094,32.679919045293616,-96.73870420713328,5.64,11.38,Completed,2023-01-01,00:11:00,2023-01-01,00:27:55
13,7949,83961,5,2,33.65192893805438,-112.0838819769419,33.550539952991194,-112.20688099636261,1.6,4.93,Completed,2023-01-01,00:12:00,2023-01-01,00:16:48
14,3433,21112,8,3,32.67446452410789,-116.97128785972419,32.80504258486473,-117.1327312577061,7.13,15.22,Completed,2023-01-01,00:13:00,2023-01-01,00:34:23
15,6311,44486,3,3,41.873041437577,-87.79316214878907,41.96780620464286,-87.63439455117627,1.74,4.88,Completed,2023-01-01,00:14:00,2023-01-01,00:19:13
